word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
suspend,verb,"In our new house, My father suspended the lamp from the ceiling.",,我爸爸把燈吊在新房子的天花板上。,懸掛；暫停；取消,hang; sling,,suspend 可指懸掛，也可指暫停、取消。,243,,4
sustain,verb,"Generally speaking, the sea wall must sustain the shock of waves.",,一般而言，海堤要承受海浪的衝擊。,承受；支援；維持,support; hold up,,sustain 指承受、支撐或維持。,243,,3
swear,verb,"Generally speaking, before giving evidence you have to swear an oath.",,一般而言，在作證之前你得先宣誓。,發誓；宣誓；詛咒,promise; vouch,,"swear 為不規則動詞：swear, swore, sworn。",244,,5
sympathize,verb,Hill sympathized with Joan in her grief.,,希爾對瓊的遭遇表示同情。,同情；體諒,empathize; pity,,sympathize with 表同情、體諒某人。,244,,5
syndicate,noun,The company reported a syndicate of local businessmen is bidding for the contract.,,據報導，一個當地企業家的聯合體在同這一合同投標。,企業聯合,consortium,,syndicate 指企業聯合、財團；複數 syndicates。,244,,5
tabloid,noun,The tabloid is full of short articles about politics and celebrities.,,這一小報盡是些以聳動報導為特點的短小報導。,小報；文摘,newspaper; paper,,tabloid 指版面較小、內容精簡或偏聳動的小報。,244,,4
tariff,noun,The government lowered the tariff on imported cars.,,政府降低了進口汽車的關稅。,關稅,duty; levy; toll,,tariff 指進出口商品所課徵的關稅。,244,245,5
tarry,verb,Don't tarry on the road.,,不要在路上耽擱。,停留；耽擱,linger; remain; stay,,"tarry 表停留、耽擱；三態 tarry, tarried, tarried。",244,,5
tear,noun/verb,"When she heard the news, the hot tears welled up in her eyes. Please tear a page out of your notebook if convenient.",,當她聽到這個消息，熱淚湧上她的眼睛。如果方便，請從你的筆記本上撕下一頁。,眼淚；撕裂；流淚；撕破,rip; teardrop; cut; sever,mend,"tear 可作名詞或動詞；表示撕裂時三態 tear, tore, torn。",244,,5
telecommunication,noun,The telecommunication service is a government monopoly in China.,,中國的電訊通信服務是政府壟斷。,通信；電訊通信,telecom,,telecommunication 指電信、遠距通信。,244,,5
temperance,noun,John believes in temperance in all things.,,約翰凡事都重視適度。,節制；不喝酒；適度,moderation,,temperance 指節制、克制或戒酒。,244,245,5
tendentious,adjective,"Generally speaking, such tendentious statements are likely to provoke strong opposition.",,一般而言，這種有偏向的說法可能招致強烈反對。,傾向的；有偏向的,capable,,tendentious 指帶有明顯傾向或偏見的。,245,,5
testify,verb,The excellence of Shakespeare's plays testifies to his genius.,,莎士比亞戲劇的卓越證明了他的天才。,作證；證明；證實,affirm; assert,,testify to 表證明、證實；testify 也可指作證。,245,,5
theory,noun,It is said that Darwin spent more than twenty years working on his theory of evolution.,,據說達爾文花了二十餘年時間研究他的進化論。,理論,idea; conception,,theory 指理論、學說；複數 theories。,245,,5
threaten,verb,"Generally speaking, dark skies threaten rain.",,一般而言，烏雲預示著要下雨。,威脅；恐嚇；恫嚇,browbeat,protect; warn,threaten 表威脅，也可指預示不利情況。,245,,5
throat,noun,I often have a sore throat when getting a cold.,,我得感冒時常有喉嚨痛。,喉嚨,pharynx; gorge,,throat 指喉嚨；sore throat 指喉嚨痛。,245,,5
tolerant,adjective,It is said that some plants are tolerant of extreme heat.,,據說有些植物耐得住極端的熱。,寬容的；容忍的,broad,,tolerant of 表能忍受、容忍。,245,,5
topple,verb,Last night the chimney toppled over on the roof.,,昨晚煙囪倒在屋頂上。,推翻；向前倒,overturn; sprawl,,"topple over 表倒下、傾覆；三態 topple, toppled, toppled。",245,,5
totalitarian,adjective,Almost all governments adopt totalitarian measures in time of war.,,幾乎所有的政府在戰時都採取極權措施。,極權主義的,totalistic,,totalitarian 指極權主義的。,245,,5
towering debt,noun,It's much easier to get into towering debt than to get out of debt.,,深陷債務容易，但擺脫債務困難。,高額債務；沉重債務,,,towering 表高聳、巨大的，towering debt 指高額或沉重債務。,245,,5
trade balance,noun,The trade balance last year showed a deficit of a billion dollars.,,去年的貿易赤字為十億美元。,貿易平衡；貿易差額,trade gap,,trade balance 指一國出口與進口金額的差額。,246,,5
trademark,noun,Please notice the trademark on the cup.,,請注意杯子上的商標。,商標,brand; hallmark,,trademark 指商標、註冊標記。,246,,3
transfer,verb,"Generally speaking, the company has transferred to the Shanghai office.",,一般而言，公司已轉移到上海辦公室。,搬；轉換；轉讓,deliver; hand over,,"transfer 表轉移、轉讓；動詞三態 transfer, transferred, transferred。",246,,5
translate,verb,This novel has been translated into twenty languages.,,這本小說已被譯成二十種語言。,翻譯；解釋；說明,interpret; render,,translate into 表翻譯成某種語言。,246,,5
transplant,noun/verb,It's said that Laura had a bone-marrow transplant.,,據說蘿拉接受了骨髓移植手術。,移居；移植,graft; transfer,,transplant 可作名詞或動詞，表示移植；也可指移居。,246,,5
trauma,noun,Barbara never recovered from the trauma of her son's death.,,芭芭拉再沒有從她兒子去世的精神創傷中恢復過來。,精神創傷；外傷,injury; hurt; harm,,trauma 指身體外傷或心理創傷；複數 traumas。,246,,4
treatment,noun,Please follow the treatment with plenty of rest in bed.,,請在治療之後好好躺在床上休息。,接待；處理；治療,care; management,,treatment 可指治療、處理或待遇。,246,,5
tremulous,adjective,The bride spoke her vows with tremulous modesty.,,新娘羞澀地以顫抖的聲音發誓。,顫動的；不安的,,,tremulous 指因緊張或激動而顫抖的。,246,,5
trigger,noun/verb,"Jill took aim and squeezed the trigger. Generally speaking, a spark can trigger an explosion.",,吉爾瞄準目標，然後扣了扳機。一般而言，火花能引起一場爆炸。,扳機；引起；激發起；觸發,gun trigger; actuate; activate,,"trigger 可作名詞或動詞；三態 trigger, triggered, triggered。",246,247,5
truculent,adjective,Our friends find Daniel truculent and unpleasant.,,我們的朋友發現丹尼爾既粗野又令人討厭。,野蠻的；粗野的；殘酷的,cruel,kind,truculent 的名詞為 truculency，副詞為 truculently。,247,,5
trump,noun/verb,He was lucky to have drawn a trump. What are you waiting for? Trump now.,,他運氣好，抽到王牌。你還等什麼？出王牌吧！,王牌；法寶；打出王牌；吹喇叭；勝過,trum,,"trump 可作名詞或動詞；動詞三態 trump, trumped, trumped。",247,,5
tune,noun/verb,"Generally speaking, a person out of tune with his surroundings is unhappy. The orchestra tuned their instruments before they started playing.",,一般而言，一個與環境不和諧的人是不會快樂的。樂隊演奏前先將樂器調音。,歌曲；旋律；心情；和諧；調節；和諧,air; harmony; tune up,discord,"tune 可作名詞或動詞；動詞三態 tune, tuned, tuned。",247,,5
turbine,noun,The disadvantage of the turbine is that it is not reversible.,,渦輪機的一個缺點就是它不可以反轉。,渦輪機,,,turbine 指渦輪機。,247,,5
turn,noun/verb,"Generally speaking, girls easily get cheerful and depressed by turns. The earth turns round the sun.",,一般而言，女孩子的情緒容易高一陣低一陣地交替。地球繞日運行。,轉動；輪班；傾向；翻轉；扭轉；使變成,circle; curve; alter; orient,fix; join; simplify,"turn 可作名詞或動詞；動詞三態 turn, turned, turned。",247,,5
tyranny,noun,People have never forgot the tyrannies of his reign.,,人們不會忘記他統治期間的暴政。,暴虐統治；暴政,absolutism,,tyranny 指暴政、專制統治；複數 tyrannies。,247,,5
ulcer,noun,Today my mouth has an ulcer.,,今天我的口腔出現了潰瘍。,潰瘍,ulceration,,ulcer 的名詞複數為 ulcers。,248,,5
unanimous,adjective,At this meeting Brown was elected by a unanimous vote.,,這次會議布朗以全票當選。,一致同意的；無異議的,agreed; solid,,unanimous 的副詞是 unanimously，名詞是 unanimousness。,248,,5
undercut,verb,It's said that online bookstores can undercut retailers by up to 30%.,,據說線上書店能夠比零售商廉價百分之三十出售書本。,暗中破壞；廉價出售,undersell,,"undercut 為不規則動詞：undercut, undercut, undercut。",248,,5
understatement,noun,To say the new program was bad is an understatement.,,說那個新節目不好是保守的說法。,含蓄的陳述；保守的說法,,,under + statement，表示說得比實際情況輕，引申為保守、含蓄的陳述。,248,,4
undulate,verb,We happily saw a new road that undulates through pleasant scenery.,,我們很高興地看到那條新道路在宜人的景色中延綿起伏。,波動；起伏,ripple; ruffle,,"undulate 表波動、起伏；三態 undulate, undulated, undulated。",248,,5
unemployment,noun,"As recently there is so much unemployment, the competition for jobs is fierce.",,因為最近失業嚴重，求職的競爭變得十分激烈。,失業；失業人口,,,un + employment，表示沒有就業、失業。,248,,5
union,noun,We hope that all the nationalities live together in perfect union.,,我們希望各族人民非常和睦地生活在一起。,聯盟；結合；和諧,unification,,union 可指聯盟、結合，也可指和諧一致。,248,,3
unprecedented,adjective,It's reported that our country is experiencing unemployment on an unprecedented scale.,,據報導我們國家現在正經歷規模空前的失業情況。,空前的,unparalleled,,unprecedented 表前所未有、空前的。,248,,5
upbraid,verb,Laura's manager upbraided her for being late.,,蘿拉的經理因她遲到而斥責她。,譴責；斥責,blame; reproach,praise,"upbraid 表斥責、責罵；三態 upbraid, upbraided, upbraided。",248,249,5
upper class,noun,It's said that this part of town is where the upper class lives.,,據說鎮上這個地區是上流階級的人住的。,上層階級；上等階層,upper crust,,upper class 指社會中的上層階級。,249,,4
urban renewal,noun,That urban renewal project almost has been completed.,,那個都市環境改造工程幾近完工。,都市環境改造；城市更新,,,urban 表都市的，renewal 表更新，合起來即城市更新。,249,,4
utopia,noun,Sir Thomas More is remembered as the author of Utopia.,,湯瑪斯．莫爾爵士因是《烏托邦》的作者而留在人們的記憶之中。,理想國；烏托邦,,,utopia 指理想中的最美好社會；名詞複數為 utopias。,249,,4
vaccination,noun,Tom had a vaccination against rabies yesterday.,,昨天湯姆接種抗狂犬病疫苗。,接種疫苗；種痘,inoculation,,vaccination 的名詞複數為 vaccinations。,249,,4
vacuum,noun,I asked the porter to turn off the vacuum.,,我請清潔工關掉真空吸塵器。,真空；真空吸塵器,void; gap,,vacuum 可指真空，也可指真空吸塵器。,249,,5
value,noun/verb,It's predicted that the value of the dollar may fall. My girlfriend values honesty beyond all things.,,美元的幣值預計可能下降。我女友重視誠實勝過一切。,價值；重要性；評價；估價；尊重,utility; worth; prize; treasure,,value 可作名詞表示價值、重要性，也可作動詞表示重視、估價。,249,,4
vapor,noun,A cloud is a mass of vapor in the sky.,,雲是天空中的水氣團。,蒸汽；水汽,breath; fumes,,vapor 的名詞複數為 vapors。,249,,4
vehemently,adverb,Rose vehemently denies that she ever met Mr. Smith.,,蘿絲強烈地否認她曾見過史密斯先生。,熱烈地；強烈地,strongly,,vehemently 為副詞，形容詞是 vehement，名詞是 vehemence。,249,,4
venture,noun/verb,My hopes have to rest upon this venture. John is in a temper now so that no one ventures to speak to him.,,我不得不把希望寄託在這次冒險上。約翰現在發脾氣以致無人敢跟他講話。,冒險；風險；敢嘗試；冒險一試,hazard; adventure,quit,"venture 可作名詞或動詞；三態 venture, ventured, ventured，名詞複數 ventures。",250,,5
vibrate,verb,"Generally speaking, the ground vibrates during the earthquake.",,一般而言，地震時地面會震動。,（使）振動；搖擺,shake; bounce,,"vibrate 表振動、搖擺；三態 vibrate, vibrated, vibrated。",250,,4
victim,noun,Bob's cats are victims of overfeeding.,,鮑勃的貓是餵食過量的受害者。,受害者；遇難者；祭品,prey; sufferer,,victim 的名詞複數為 victims。,250,,4
vilify,verb,Joanna has been vilified by her opponents in the press.,,瓊安娜被她的對手在報紙上中傷。,誹謗；中傷,revile; vituperate,admit; praise,"vilify 表誹謗、中傷；三態 vilify, vilified, vilified。",250,,4
violate,verb,Every citizen commits not to violate the law.,,每位公民承諾不違反法律。,違犯；褻瀆,break; dishonor,keep; observe,"violate 表違反、侵犯；三態 violate, violated, violated。",250,,5
virus,noun,Please watch of your computer viruses.,,請小心電腦病毒。,病毒；濾過性微生物,computer virus,,virus 的名詞複數為 viruses；常見搭配有 influenza virus、intestinal virus。,250,,4
vivacious,adjective,Fiona is a beautiful and vivacious girl.,,菲奧娜是位活潑又美麗的女孩。,活潑的；快活的,vibrant; active,dull; blunt,vivacious 表活潑、有生氣的。,250,,4
voltage,noun,The function of the transformers is to change electric power from one voltage to another.,,變壓器的功用就是把電力從一種電壓改變為另一種電壓。,電壓,potential,,voltage 的名詞複數為 voltages；常見搭配 high voltage、low voltage。,250,251,5
