word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
abide,verb,She cannot abide the pressure anymore.,,她再也無法忍受這麼大的壓力。,容忍；停留,endure; stay,,abide 可表示忍受，也可表示停留。,254,,5
abject,adjective,He is an abject coward.,,他是個極可憐的懦夫。,極可憐的；卑屈的,miserable; pitiful,,abject 指卑屈、悲慘或可憐的。,254,,5
abolish,verb,People appealed for abolishing official policies of racial segregation.,,人們呼籲廢除官方的種族隔離政策。,廢除；廢止,abate; cancel,establish,abolish 表正式廢除制度、法律或政策。,254,255,5
aboriginal,adjective,They are looking for a dragoman who knows the aboriginal language.,,他們在尋找一個懂得土著語言的譯員。,土著的；原來的,primitive; native,,aboriginal 表原住民的、原始的。,255,,4
aborigine,noun,He married an aborigine which surprised his family.,,他娶了一個原住民，這讓他的家人很吃驚。,原住民；土生動植物群,,,aborigine 指原住民。,255,,5
abortion,noun,She thinks those who have abortions will not be able to go to heaven.,,她認為那些進行流產的人不能去天堂。,流產；墮胎,miscarriage,,abortion 指流產或墮胎。,255,,5
abound,verb,The island abounds with snakes so you must be very careful.,,那個島上有很多蛇，你一定要小心。,大量存在；富足；充足,prevail; teem,lack,abound with 表大量存在。,255,,4
abrasive,adjective,These materials have strong abrasive resistance.,,這些材料耐磨力強。,有研磨作用的,abrading; attritional,,abrasive 可指研磨的、磨蝕的。,255,,5
abrupt,adjective,The abrupt change in her life gave her lots of trouble and it took a long time to get used to it.,,生活中突然而來的變化帶給她很多麻煩，她過了很長一段時間才適應。,突然的；唐突的；陡峭的,brusque; sharp,,abrupt 表突然的或唐突的。,255,,5
abstain,verb,That oenophilist swore to abstain from drinking.,,那個嗜酒的人發誓要戒酒。,戒絕；回避；棄權,refrain; desist,,abstain from 表戒絕、避免。,255,,5
abstemious,adjective,One of my good friends is an abstemious person.,,我的一個好朋友是個節制的人。,節制的；適度的,,,abstemious 指飲食或生活節制的。,255,,5
abstinence,noun,Total abstinence is essential to his health.,,完全戒酒對他的健康至關重要。,禁絕（食物或酒）,, ,abstinence 指戒絕，尤其指戒酒。,255,256,5
abstruse,adjective,Many students thought that the professor's lectures were a bit too abstruse.,,許多學生都認為這個教授的課很難理解。,難解的；深奧的,profound,shallow,abstruse 指難理解、深奧的。,256,,4
abusive,adjective,You should not use abusive or obscene language to criticize others.,,你們不應該用罵人的或不流的話來批評他人。,責罵的；濫用的,affronting; contumelious,,abusive 指辱罵的或濫用的。,256,,5
accelerate,verb,The government decided to take a policy to accelerate economical recovery.,,政府決定採取措施以加速經濟復元。,使加速；促進,speed up; quicken,,accelerate 表加速、促進。,256,,5
accessible,adjective,The place is accessible only by boat.,,這個地方只有坐船才能到達。,可進入或使用的,available; reachable,,accessible 指可到達、可使用的。,256,,4
accessory,noun,All their motorcycle accessories are not only brand new but also of the best quality.,,他們所有的摩托車附件不僅是全新的，而且品質也是最好的。,附件；從犯,annex; accomplice,,accessory 可指附件，也可指從犯。,256,,5
acclaim,verb,People acclaimed him president.,,人們推立他為總統。,歡呼；稱讚；擁立,applaud; clap,,acclaim 表歡呼、稱讚或推舉。,256,,5
acclimate,verb,I have not become acclimated to Taiwan yet.,,我還不能適應台灣的環境。,使適應,adapt; adjust,,acclimate 表使適應氣候或環境。,256,,5
accolade,noun,To be chosen to represent his country is the highest accolade for an athlete.,,能被選拔出來代表國家，是一個運動員的最高嘉獎。,嘉獎；讚許,eulogy; glory,,accolade 指嘉獎、讚譽。,256,,5
accomplice,noun,He was accused as an accomplice.,,他被指控為同謀。,幫兇；同謀,participator; ally,,accomplice 指共犯、同謀。,256,257,5
accomplished,adjective,Both his parents are accomplished musicians but he knows nothing about music.,,他父母都是有造詣的音樂家，但他卻對音樂一竅不通。,完成了的；熟練的；有造詣的,complete,incomplete,accomplished 可指完成的，也可指技藝熟練的。,257,,5
accordingly,adverb,The manager had told you the details so you should act accordingly.,,經理已經告訴你細節了，所以你應該照著做。,照著；因此；於是,correspondingly; consequently,,accordingly 表照著、因此。,257,,5
accountable,adjective,Every employee is accountable for his work so if you can't finish your task on time you should work overtime.,,每個員工都要對自己的工作負責，如果你不能準時完成任務，就應該加班。,有解釋義務的；應負責任的,liable; answerable,unaccountable,accountable for 表對…負責。,257,,5
accrue,verb,Interest will accrue if you keep your money in the savings bank.,,如果你把錢存在銀行裡就會生利息。,產生；孳生,enlarge; accumulate,,accrue 指利益、利息等逐漸產生。,257,,5
accumulate,verb,She has successfully accumulated a fortune to buy an apartment.,,她已經成功累積一筆錢買公寓。,累積；積聚,cumulate; amass,,accumulate 表累積、積聚。,257,,4
accusation,noun,The accusation was that she had murdered her husband.,,罪名是她謀殺了丈夫。,指控；指責；罪名,crimination; charge,,accusation 指指控、罪名。,257,,5
ace,noun,The article is about a man who is an ace at chess.,,這篇文章是關於一個西洋棋高手。,能手；佼佼者,singlet; wiz,,ace 可指一流高手。,257,,5
acid,adjective,His acid look hurt me deeply.,,他尖酸刻薄的眼神深深傷害了我。,酸的；尖酸刻薄的,acerb; acetous,,acid 作形容詞可指酸的或尖酸刻薄的。,257,,4
acidulous,adjective,Her acidulous satire made me very angry.,,她那刻薄的諷刺讓我非常生氣。,帶酸味的；諷刺的,sour; tart,,acidulous 指帶酸味或尖酸諷刺的。,258,,5
acme,noun,He was in the acme of happiness.,,他快樂到了頂點。,頂點；極點,apex; peak,,acme 指最高點、極點。,258,,5
acne,noun,How can an acne-scarred man be a model?,,一個滿臉粉刺的人怎麼可以當模特兒？,痤瘡；粉刺,,,acne 指粉刺、痤瘡。,258,,5
acorn,noun,There are many acorns on the oak tree.,,這棵橡樹上有很多橡子。,橡子；橡實,,,acorn 指橡樹的果實。,258,,5
acoustic,adjective,She found a part-time job in order to save money to buy an acoustic guitar.,,她找了一份兼職工作，為的是存錢買原音吉他。,音響的；聽覺的；原聲的,acoustical,,acoustic 與聲音、聽覺有關。,258,,5
activate,verb,Don't worry; the burglar alarm was activated by mistake.,,別擔心；防盜鈴是被不小心啟動了。,使活動；使啟動；使活化,actuate; stimulate,,activate 表使啟動、使活化。,258,,5
adjacent,adjective,The two men who live on adjacent streets never communicate with each other.,,這兩個住在相鄰街道的人從不來往。,毗連的；鄰近的；接近的,nearby; adjoining,remote,adjacent 表相鄰、鄰近的。,258,,5
admiral,noun,His father who was a fleet admiral died in the war.,,他的父親是個艦隊司令，但在戰爭中殉職了。,海軍上將；海軍將官；艦隊司令,,,admiral 指海軍高階將領。,258,,4
advent,noun,"Since the advent of the computer, there have been great changes in the world.",,自從電腦問世以來，世界發生了巨大的變化。,出現；到來,appearance; emergence,,advent 指出現、到來。,258,,5
adverse,adjective,He is adverse to violence so he won't agree with our plan.,,他反對暴力，所以不會同意我們的計畫。,逆向的；相反的；不利的,contrary; opposite,favorable,adverse 表不利的、相反的；be adverse to 表反對。,258,259,5
advisory,adjective,I will offer an advisory opinion but you'd better make your own decision.,,我將提供忠告的意見，但你們最好自己做決定。,顧問的；勸告的；忠告的,consultative; recommendatory,,advisory 指顧問性、勸告性的。,259,,5
aerial,adjective,Young people love this film for there are lots of aerial action in it.,,年輕人喜歡這部電影是因為裡面有很多空中特技。,空氣的；航空的；飛機的,aloft; celestial,,aerial 指空中的、航空的。,259,,5
aesthetic,adjective,I think a film should have both aesthetic and commercial value.,,我認為一部電影應該具有審美和商業價值。,美學的；審美的；藝術的,beautiful; artistic,,aesthetic 指美學的、審美的。,259,,5
aesthetics,noun,Her treatise on aesthetics earned her a scholarship so that there was no need to find part-time jobs.,,她在美學方面的論文為她贏得了獎學金，所以不再需要找兼職工作。,美學,esthetics,,aesthetics 指美學。,259,,5
affectionate,adjective,The audience was greatly moved by her affectionate speech about love.,,她關於愛的演講感情真摯，深深地打動了觀眾。,摯愛的；親切的；情深的,kind; amiable,,affectionate 指充滿感情、親切的。,259,,4
affiliate,verb,She graduated from a college affiliated with the church.,,她從一所隸屬於教堂的大學畢業。,使緊密聯繫；使隸屬於,connect; join,,affiliate with 表與…有隸屬或聯繫關係。,259,,5
afflict,verb,We should help those who are afflicted with cancer.,,我們應該幫助那些受癌症折磨的人。,使痛苦；折磨,trouble; pain,comfort; relieve,afflict with 表使受…折磨。,259,,5
aftermath,noun,The economy recovered and life was more comfortable in the aftermath of war.,,戰爭過後的時期，經濟復甦，人們的生活也更舒適。,後果；某事情結束後的一段時期,consequence; fallout,,aftermath 指事件後果或事後時期。,259,,5
agitate,verb,She became quite agitated when she was asked about her past.,,當被問到她的過去時，她變得很焦躁不安。,煽動；鼓動；使焦慮不安,disturb; instigate,calm; soothe,agitate 表煽動、鼓動或使焦躁。,259,260,5
agitation,noun,The workers were in great agitation after hearing the speech.,,工人們聽完演講之後，情緒非常激動。,鼓動；攪動；激動,turmoil; unrest,calm; lethargy,agitation 是 agitate 的名詞，表示激動、騷動。,260,,5
agony,noun,She was in agony with great remorse after she knew she had misunderstood him.,,她在得知誤解了他之後，就處於悔恨的痛苦之中。,極度痛苦；苦惱,anguish; distress,comfort,agony 指極度的痛苦或苦惱。,260,,3
aide,noun,"The president has sent his aide, the one he trusts most, to solve the problem.",,董事長已經派他的助手，也是他最信任的人，去解決那個問題。,助手；副官；助理人員,adjutant; assistant,,aide 指助手、助理或副官。,260,,5
airtight,adjective,It sounds like an airtight excuse but I don't believe you.,,這聽起來像是個無懈可擊的藉口，但我不相信你。,密閉的；無懈可擊的,,,airtight 可指密封的，也可比喻無懈可擊的。,260,,5
algebra,noun,"If there is any algebra problem that you can't figure out, you can ask your brother.",,如果你有任何代數問題算不出來，你可以問你哥哥。,代數學,,,algebra 指代數學。,260,,4
alienate,verb,She kept telling lies which alienated her friends.,,她不停地撒謊，這使她的朋友疏遠了她。,疏遠；離間；讓渡,estrange; disaffect,,alienate 表使疏遠、離間。,260,,5
allegation,noun,He made a serious allegation without any evidence of its truth.,,他做出重要的斷言，卻沒有任何事實的根據。,斷言；申述；主張,reference; accusation,,allegation 指未經證實的主張或指控。,260,,5
allege,verb,The woman alleged that her husband was murdered but she had no evidence.,,那個女人宣稱她丈夫是被謀殺的，但她沒有證據。,斷言；宣稱；提出,declare; state,,allege 表宣稱、斷言，常指尚未證實。,260,261,5
