word,example,中文,同義字,祕段落,頁碼,難度
accordance,"If you don't play the game in accordance with the rules, we will foul you out.",一致；和諧；依照,conformity; inconformity,"字首 ac- 表『到』，字根 cord 表『心』，彼此的心到達同一理念，因此表示一致。",13,5
accordingly,"She was too weak to continue. Accordingly, we sent her home.",照著；因此；於是,correspondingly; consequently,"字首 ac- 表『對著』，cord 表『心』，accord 有一致、同意之意，加 -ingly 成副詞，表示照著、因此。",13,3
accumulate,"Snow accumulated to a depth of 8 feet and it was impossible to drive out.",累積；積聚,cumulate; amass; dissipate,"字首 ac- 表『加強』，字根 cumulate 表『聚集』，合起來就是不斷累積、積聚。",13,5
accumulation,"There is an accumulation of work waiting to be done, so I can't watch TV.",積累；積聚物,collection; assemblage,"由 accumulate 去掉 e 加上 -ion 形成名詞，表示積累或積聚物。",13-14,4
accustom,"She quickly accustomed herself to the new life in this city and made several friends.",使習慣,habituate,"字首 ac- 表『在、到』，costume 可聯想到每天穿同樣服裝，日久成習慣。",14,5
acknowledge,"We acknowledge that he is a genius, but even a genius can also make mistakes.",承認；認知,admit; concede; deny; negate,"字首 ac- 表『在、到』，knowledge 是知識；讓大家都『知道』，即承認、認知。",14,3
acquisition,"Next to acquiring good books, the best acquisition is that of good films.",獲得；取得；獲得物,acquirement; gaining,"由 acquire 去掉 re 後加 -sition 形成名詞，可聯想為獲得、取得之物。",14,5
acting,"Our president is absent; therefore the acting president will talk with you.",代理的；臨時的；演出用的,deputy; performing,"act 為『做、演』，加 -ing 成形容詞；表示暫代職務或用於演出。",14,5
activist,"All these activists must be included in the project.",行動主義者；激進主義分子,—,"act 表『動作、行動』，-ist 表『人』，合起來就是採取行動的人。",14,5
acute,"Her judgment is acute, so we'd better trust her.",尖銳的；敏銳的；急性的,keen; smart; blunt,"字首 a- 表『加強』，字根 cute 可聯想到精明伶俐，因而引申為敏銳、尖銳。",14,3
adaptation,"As an adaptation, this play is better than the original novel.",適應；改編；改寫,adjustment; moderation,"字首 ad- 表『一再』，字根 apt 表『適當的』；一再調整到適當狀態，便是適應或改編。",14,5
addict,"These film addicts go to the movies every Sunday no matter what the weather is like.",入迷的人；有癮的人,nut; junkie,"字首 ad- 表『向、對』，字根 dict 表『說、表示』；像被某物反覆召喚，形成過度喜愛或成癮。",14,3
addicted,"The man who was addicted to cigarettes finally gave up smoking for his children's sake.",上癮的；入迷的,dependent,"由 addict 加 -ed 形成形容詞，表示已經成癮、入迷。",14-15,5
addiction,"Researchers found an addiction to drugs could lead one towards a life of crime.",沈溺；上癮；入迷,dependence; indulgence,"由 addict 加 -ion 形成名詞，表示沈溺、上癮或入迷。",15,5
addictive,"You cannot marry one who uses addictive drugs.",使成癮的；上癮的,—,"由 addict 加 -ive 形成形容詞，表示會使人成癮的。",15,4
adhere,"The company adheres to the principle that those who work more will get more.",黏附；堅持；遵守,stick; obey; disobey,"字首 ad- 表『在』，字根 her 表『黏貼、附著』，因此有黏附並引申為堅持、遵守。",15,3
adjoin,"He doesn't know that New Jersey adjoins New York.",靠近；毗鄰,be close to; disjoin,"字首 ad- 表『在』，join 表『連接、結合』，合起來就是連接在一起、毗鄰。",15,5
adjustment,"He made a few minor adjustments to the seating plan without the permission of the host.",調節；校正；調解,alteration; adaptation,"字首 ad- 表『使』，字根 just 表『正確』，合起來就是使其正確，因而有調整之意。",15,5
administer,"It not only takes time but also brains to administer a large company.",管理；實行；給予,manage; execute,"字首 ad- 可表『去』，minister 原指部長、大臣；擔任管理者，需要處理與執行事務。",15,5
administrative,"His administrative ability was not recognized until he solved the problem.",管理的；行政的,managerial; executory,"由 administer 去掉 er 加 -rative 形成形容詞，表示管理或行政方面的。",15,3
administrator,"The man who was said to be a born administrator won the election.",管理人；有行政或管理才能的人,executive; organizer,"由 administer 去掉 er 加 -rator，-or 表『人』，因此是管理者或行政人員。",15,5
adolescence,"Should they be forgiven because the mistakes were made in their adolescence?",青春期；青少年時期,teenage; youth,"可聯想 adolescent（青少年）加名詞字尾 -ence，表示青春期或青少年時期。",15,5
