word,part_of_speech,example,corrected_example,example_zh,chinese,synonyms,antonyms,memory_hint,page,page_end,difficulty
intermittent,adjective,The masthead light was no more than an intermittent glow in the dark.,,,間歇的；斷斷續續的；週期性的,,,,335,,5
intersection,noun,An accident happened at the intersection of North Road and Lemsford Road.,,,交叉點；十字路口,,,,335,,4
intimacy,noun,The intimacy between a mother and child is special.,,,熟悉；親密,,,,335,,4
intimidate,verb,I will not be intimidated by threats.,,,恫嚇；恐嚇；威脅,,,,335,,5
intricate,adjective,The eaves were carved with a variety of intricate patterns.,,,複雜精細的；難以理解的,,,,335,,5
intrigue,noun,"That family was full of intrigue, hate, and jealousy.",,,陰謀；詭計；情節,,,,335,,5
intriguing,adjective,"As soon as he saw her, he was attracted by her intriguing smile.",,,迷人的；有迷惑力的,,,,335,,4
intrinsic,adjective,Some people believe in the intrinsic value of dignity and honor.,,,內在的；本質的,,,,335,,5
intrusion,noun,Please pardon me for this intrusion.,,,侵入；闖入；打擾,,,,335,,4
inventory,noun,"Before paying for the goods, we have to make an inventory.",,,詳細目錄；存貨清單,,,,336,,4
inviting,adjective,She has many friends because of her inviting personality.,,,吸引人的；誘人的,,,,336,,4
irresistible,adjective,He had a sudden irresistible desire to kiss his girlfriend.,,,無法抗拒的；無法抵抗的,,,,336,,5
irrespective,adjective,You can't do things irrespective of the consequences.,,,不顧的；與……無關的,,,,336,,5
jack,noun,You need a jack up a car before changing a tyre.,You need a jack to lift up a car before changing a tyre.,,千斤頂；用千斤頂托起,,,,336,,4
janitor,noun,The school janitor is very conscientious in his work.,,,工友；門警,,,,336,,4
jaywalk,verb,It is still common for people to jaywalk although it's very dangerous.,,,不守交通規則地橫越馬路,,,,336,,4
jeer,verb,I think you hurt his pride by jeering at the way he speaks English.,,,嘲笑；戲弄,,,,336,,4
jeopardize,verb,"If we falter in our leadership, we may jeopardize the peace of the world, and we shall surely jeopardize the welfare of this nation.",,,使處於危險；危及；損害,,,,336,,5
jerk,verb,The bus jerked to a stop because the red light came on suddenly.,,,急拉；急推；猛然一動,,,,337,,4
jersey,noun,She likes to wear a jersey and jeans.,,,針織物；緊身衣,,,,337,,4
jockey,verb,The horses jockeyed for position at the beginning of the race.,,,騎師；欺騙；耍花招,,,,337,,4
judicial,adjective,A judicial mind should consider both sides of a dispute fairly before making a decision.,,,司法的；法官的；公正的,,,,337,,5
judiciary,noun,This law firm is directly affiliated with the Judicial Department of the local government and judiciary.,,,司法部；司法機關；法官,,,,337,,5
jug,noun,Do you want to taste the jugged hare?,,,壺；罐,,,,337,,4
kin,noun,All our kin will come to our wedding next week.,,,家族；親戚；同類,,,,337,,4
kindle,verb,"After his speech, her face kindled with excitement.",,,著火；點燃；激發,,,,337,,4
knuckle,verb,"If you want to pass that exam with ease, you'll have to knuckle down to some hard work.",,,開始認真工作,,,,338,,4
lad,noun,He's quite a nice lad when you get to know him.,,,男孩；少年；小伙子,,,,338,,4
lament,verb,The tribesmen are lamenting the death of their chief.,,,哀悼；悔恨,,,,338,,4
latent,adjective,You'd better take care of the latent infection.,,,潛伏的；潛在的,,,,338,,4
lavish,verb,He lavished his time and money on pets.,,,揮霍；浪費,,,,338,,4
layman,noun,This medical textbook is written for professionals and laymen alike.,,,外行人；門外漢,,,,338,,4
layout,noun,The magazine has an attractive and new page layout.,,,安排；設計；版面,,,,338,,4
legislation,noun,Legislation is the duty of Congress and it's not in the President's power to legislate.,The new legislation was passed after months of debate.,,立法；法律；法規,,,,338,,5
legislative,adjective,Nobody respects the legislative procedure anymore.,,,立法的；有立法權的,,,,338,,5
legislator,noun,Five legislators in total were elected to the legislature last week.,,,立法者；立法委員；國會議員,,,,339,,5
legislature,noun,The legislature has enacted a new law recently.,,,立法機關,,,,339,,5
legitimate,adjective,It is his legitimate right to appeal.,,,合理的；合法的；正當的,,,,339,,4
lengthy,adjective,After several lengthy discussions the problem was solved.,,,長的；冗長的；囉唆的,,,,339,,4
lesser,adjective,Don't always waste time on some lesser matters.,,,較小的；更少的；次要的,,,,339,,4
lest,conjunction,He told us to keep quiet lest we should disturb others.,,,惟恐；以免,,,,339,,5
lever,noun,We think this latest incident may be the lever needed to change government policy.,,,槓桿；控制桿；手段,,,,339,,4
levy,verb,The government decided to levy a protective tariff on foreign cars.,,,徵收（稅等）,,,,339,,4
libel,verb,He claims he was libelled at the meeting.,,,誹謗；中傷；詆毀,,,,339,,5
lieutenant,noun,The young army officer was promoted to the rank of lieutenant.,,,陸軍中尉；海軍上尉,,,,340,,4
lime,noun,He added some water to the burnt lime.,,,石灰,,,,340,,4
limousine,noun,The hotel has a special fleet of limousines to take guests to the airport.,,,豪華轎車,,,,340,,4
linger,verb,The traveler has lingered in Wales for two weeks.,,,逗留；徘徊；拖延,,,,340,,4
linguist,noun,A good dictionary is the handmaid of linguists.,,,語言學家,,,,340,,4
lining,noun,Today she is wearing a red tracksuit with fleecy lining.,,,襯裡；襯料,,,,340,,4
literal,adjective,This article is a literal translation from French.,,,照字面的；逐字的；如實的,,,,340,,4
literally,adverb,There are people in the world who literally do not know how to boil water.,,,照字面意義；逐字地；確實地,,,,340,,4
livestock,noun,"Without his livestock, the farmer lost his livelihood.",,,家畜,,,,340,,4
locomotive,adjective,Hands and feet are all locomotive organs.,,,運動的；移動的,,,,340,,4
